_uid_,nom_fr,element,lng_target,lat_target,lng_source,lat_source
"341",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"342",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"343",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"344",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"345",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"346",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"347",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"348",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"349",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Artémis à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"350",(prêtre) d'Apollon Pythaée et d'Apollon Oulios et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"351",(prêtre) d'Apollon Pythaée et d'Apollon Oulios et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"352",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Apollon Pythaée et d'Artémis qui (est) à Kekoia,De Kekoia,"28.0882029","36.0912206","26.25","34.75"
"353",(prêtre) d'Athéna Lindia et Zeus Polieus et d'Apollon Pythaée et d'Artémis qui (est) à Kekoia,Kekoia,"28.0882029","36.0912206","26.25","34.75"
"354","(prêtre à Lindos) d'Athéna Lindia et Zeus Polieus et d'Artémis qui (est) à Kekoia et, en ville, d'Hélios et des Muses",De Kekoia,"28.0882029","36.0912206","26.25","34.75"
